id,title,category,condition,price,base_price,discount_percentage,currency,stock,max_purchase_quantity,free_shipping,logistic_type,pickup_available,city,state,country,os,resolution,storage,ram,cpu,voice_assistant,remote_type,ports,bluetooth,wifi,wifi_standards,warranty_time,warranty_type
MLA906305330,Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanco Tipo De Control Remoto De Voz,MLA352001,new,299999.0,299999.0,0,ARS,414,1,True,cross_docking,False,San Nicolás,Capital Federal,Argentina,Android TV,4K,32 GB,4 GB,Amlogic S905X3 Cortex-A55 Quad-Core,Google Assistant,De voz,HDMI,Sí,Sí,5.8GHz,6 meses,Garantía del vendedor
MLA2020861394,Adaptador Smart Tv Box 4k Color Negro 32gb,MLA352001,new,45014.0,45014.0,0,ARS,206,,True,xd_drop_off,False,caballito,Capital Federal,Argentina,Android,4K,32 GB,4 GB,Cortex A-35 Quad-Core,,Estándar,"Micro-USB,USB-A,USB-B,Tarjeta micro-SD",No,Sí,IEEE 802.11a/b/g/n/ac,30 días,Garantía del vendedor
MLA2012430250,Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro,MLA352001,new,86000.0,86000.0,0,ARS,114,,True,xd_drop_off,False,Caba,Capital Federal,Argentina,Android TV 12,4K,8 GB,2 GB,Cortex-A35 Quad-Core,Google Assistant,De voz,HDMI,Sí,Sí,IEEE 802.11a/b/g/n/ac,30 días,Garantía del vendedor
MLA1104393418,Xiaomi Mi Tv Stick Full Hd 8gb Chromecast Streaming Con Control Color Negro,MLA352001,new,91348.0,91348.0,0,ARS,29,,True,cross_docking,False,Palermo,Capital Federal,Argentina,Android TV 9.0,Full HD,8 GB,1 GB,Cortex-A53 Quad-Core,Google Assistant,De voz,Micro-USB,Sí,Sí,IEEE 802.11a/b/g/n/ac,6 meses,Garantía de fábrica
MLA1454297341,Onn Google Tv Fhd Streaming Stick 2da Generación 8gb 1.5gb Ram Color Negro Control Remoto De Voz,MLA352001,new,65200.0,65200.0,0,ARS,435,,True,xd_drop_off,False,Recoleta,Capital Federal,Argentina,Google TV,Full HD,8 GB,1.5 GB,Quad-core Cortex-A35,Google Assistant,De voz,HDMI,Sí,Sí,IEEE 802.11a/b/g/n/ac,6 meses,Garantía del vendedor
MLA2018276154,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,MLA352001,new,237487.0,237487.0,0,ARS,69,,True,cross_docking,False,Almagro,Capital Federal,Argentina,Android TV,4K,8 GB,2 GB,Amlogic S905X3 Cortex-A55 Quad-Core,Google Assistant,De voz,USB-C,Sí,Sí,IEEE 802.11ac,3 meses,Garantía del vendedor
MLA1885183850,Chromecast Ga01919-us Google 4 Generación 4k 8gb Con 2gb De Memoria Ram,MLA352001,new,134990.0,134990.0,0,ARS,70,,True,drop_off,False,Santa Fe,Santa Fe,Argentina,Android 10.0,4K,8 GB,2 GB,Amlogic S905X3 Cortex-A55 Quad-Core,Google Assistant,,USB-C,Sí,Sí,IEEE 802.11ac,3 meses,Garantía del vendedor
MLA1929846314,Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.ª Generación Color Negro,MLA352001,new,92350.0,92350.0,0,ARS,264,,True,xd_drop_off,False,Parque Chas,Capital Federal,Argentina,Android TV 11,4K,8 GB,2 GB,Cortex A-35 Quad-Core,Google Assistant,De voz,Micro-USB,Sí,Sí,IEEE 802.11a/b/g/n/ac,30 días,Garantía de fábrica
MLA1479310419,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,MLA352001,new,155000.0,155000.0,0,ARS,8,,True,drop_off,False,La Plata,Buenos Aires,Argentina,,Full HD,8 GB,2 GB,,Google Assistant,De voz,,Sí,Sí,,10 días,Garantía de fábrica
MLA2014004732,Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb Y 1 Gb De Ram,MLA352001,new,79999.0,79999.0,0,ARS,107,,True,cross_docking,False,Micro Centro,Capital Federal,Argentina,Android TV 9.0,Full HD,8 GB,1 GB,Cortex-A53 Quad-Core,Google Assistant,De voz,Micro-USB,Sí,Sí,IEEE 802.11a/b/g/n/ac,6 meses,Garantía de fábrica
